No	Sample	N_SNPs	F_percent	E_percent	A_percent	full	N_SNPs	F_percent_pruned	E_percent_pruned	A_percent_pruned	pruned
1	HpGP-ALG-001	142237	20.09	79.91	0	hpgpMediterranea	44787	22.69	77.31	0	hpgpMediterranea
2	HpGP-ALG-002	142237	28.97	71.03	0	hpgpEuroamerica	44787	32.14	67.86	0	hpgpEuroamerica
3	HpGP-ALG-003	142237	31.4	68.6	0	hpgpEuroamerica	44787	35.4	64.6	0	hpgpEuroamerica
4	HpGP-ALG-004	142237	21.84	78.16	0	hpgpMediterranea	44787	23.06	76.94	0	hpgpMediterranea
5	HpGP-ALG-005	142237	20.63	79.37	0	hpgpMediterranea	44787	22.99	77.01	0	hpgpMediterranea
6	HpGP-ALG-006	142237	21.68	78.32	0	hpgpMediterranea	44787	24.84	75.16	0	hpgpMediterranea
7	HpGP-ALG-007	142237	20.68	79.32	0	hpgpMediterranea	44787	22.61	77.39	0	hpgpMediterranea
8	HpGP-ALG-008	142237	27.63	72.37	0	hpgpMediterranea	44787	30.3	69.7	0	hpgpMediterranea
9	HpGP-ALG-009	142237	21.87	78.13	0	hpgpMediterranea	44787	24.06	75.94	0	hpgpMediterranea
10	HpGP-ALG-010	142237	21.71	78.29	0	hpgpMediterranea	44787	24.14	75.86	0	hpgpMediterranea
11	HpGP-ARG-001	142237	17.37	82.63	0	hpgpMediterranea	44787	18.12	81.88	0	hpgpMediterranea
12	HpGP-ARG-002	142237	24.24	75.17	0.59	hpgpEuroamerica	44787	28.59	69.69	1.72	hpgpEuroamerica
13	HpGP-ARG-003	142237	19.31	80.69	0	hpgpMediterranea	44787	20.27	79.73	0	hpgpMediterranea
14	HpGP-ARG-004	142237	19.77	80.23	0	hpgpMediterranea	44787	23.55	76.45	0	hpgpMediterranea
15	HpGP-ARG-005	142237	20.77	79.23	0	hpgpMediterranea	44787	23.44	76.56	0	hpgpMediterranea
16	HpGP-ARG-006	142237	77.35	20.41	2.24	hpgpAfroamerica	44787	81.16	13.84	5.01	hpgpAfroamerica
17	HpGP-ARG-007	142237	22.9	77.1	0	hpgpMediterranea	44787	23.12	76.88	0	hpgpMediterranea
18	HpGP-ARG-008	142237	0	0	100	hpgpAsia	44787	1.01	0	98.99	hpgpAsia
19	HpGP-ARG-009	142237	0	1.14	98.86	hpgpAsia	44787	0	0.11	99.89	hpgpAsia
20	HpGP-ARG-010	142237	0	0	100	hpgpAsia	44787	0.08	0	99.92	hpgpAsia
21	HpGP-BGD-001	142237	2.01	63.38	34.62	hpgpEurasia	44787	0	75.21	24.79	hpgpEurasia
22	HpGP-BGD-002	142237	2.05	62.37	35.58	hpgpEurasia	44787	0	73.75	26.25	hpgpEurasia
23	HpGP-BGD-003	142237	1.77	66.28	31.95	hpgpEurasia	44787	0	77.54	22.46	hpgpEurasia
24	HpGP-BGD-004	142237	1.55	94.71	3.74	hpgpEurope	44787	0	96.63	3.37	hpgpEurope
25	HpGP-BGD-005	142237	8.43	91.57	0	hpgpEurope	44787	10.56	89.44	0	hpgpEurope
26	HpGP-BGD-006	142237	3.11	96.89	0	hpgpEurope	44787	2.74	97.26	0	hpgpEurope
27	HpGP-BGD-007	142237	3.21	96.79	0	hpgpEurope	44787	5.8	94.2	0	hpgpEurope
28	HpGP-BGD-008	142237	2.7	64.67	32.63	hpgpEurasia	44787	0	77.04	22.96	hpgpEurasia
29	HpGP-BGD-009	142237	9.58	87.89	2.54	hpgpEurope	44787	8.91	90.09	1	hpgpEurope
30	HpGP-BGD-010	142237	2.61	97.39	0	hpgpEurope	44787	3.1	96.9	0	hpgpEurope
31	HpGP-BGR-001	142237	2.71	97.29	0	hpgpEurope	44787	6.12	93.88	0	hpgpEurope
32	HpGP-BGR-003	142237	0	96.44	3.56	hpgpEurope	44787	0	95.04	4.96	hpgpEurope
33	HpGP-BGR-004	142237	2.81	97.19	0	hpgpEurope	44787	4.11	95.89	0	hpgpEurope
34	HpGP-BGR-005	142237	0.66	99.34	0	hpgpEurope	44787	2.77	97.23	0	hpgpEurope
35	HpGP-BGR-006	142237	0.36	99.64	0	hpgpEurope	44787	0.6	99.4	0	hpgpEurope
36	HpGP-BGR-007	142237	1.25	98.75	0	hpgpEurope	44787	2.03	97.97	0	hpgpEurope
37	HpGP-BGR-008	142237	0.97	99.03	0	hpgpEurope	44787	2.08	97.92	0	hpgpEurope
38	HpGP-BGR-010	142237	0	100	0	hpgpEurope	44787	0.23	99.77	0	hpgpEurope
39	HpGP-BRA-001	142237	90.3	9.7	0	hpgpAfrica	44787	96.3	1.01	2.69	hpgpAfrica
40	HpGP-BRA-002	142237	94.58	5.42	0	hpgpAfrica	44787	96.51	0	3.49	hpgpAfrica
41	HpGP-BRA-003	142237	20.92	79.08	0	hpgpMediterranea	44787	22.05	77.95	0	hpgpMediterranea
42	HpGP-BRA-004	142237	6.63	93.37	0	hpgpEurope	44787	6.44	93.56	0	hpgpEurope
43	HpGP-BRA-005	142237	97.73	2.27	0	hpgpAfrica	44787	95.51	0	4.49	hpgpAfrica
44	HpGP-BRA-006	142237	23.14	76.86	0	hpgpMediterranea	44787	23.81	76.19	0	hpgpMediterranea
45	HpGP-BRA-007	142237	94.05	5.95	0	hpgpAfrica	44787	95.72	0	4.28	hpgpAfrica
46	HpGP-BRA-008	142237	33.43	66.57	0	hpgpEuroamerica	44787	34.09	65.91	0	hpgpEuroamerica
47	HpGP-BRA-009	142237	26.1	73.9	0	hpgpMediterranea	44787	26.81	73.19	0	hpgpMediterranea
48	HpGP-BRA-010	142237	95.34	4.66	0	hpgpAfrica	44787	96.23	0	3.77	hpgpAfrica
