full	full	pruned	n
1	hpgpAfrica	hpgpAfrica	71
2	hpgpAfrica-distant	hpgpAfrica	0
3	hpgpAfroamerica	hpgpAfrica	0
4	hpgpAklavik86-like	hpgpAfrica	0
5	hpgpAsia	hpgpAfrica	0
6	hpgpEurasia	hpgpAfrica	0
7	hpgpEuroamerica	hpgpAfrica	0
8	hpgpEurope	hpgpAfrica	0
9	hpgpMediterranea	hpgpAfrica	0
10	hpgpAfrica	hpgpAfrica-distant	0
11	hpgpAfrica-distant	hpgpAfrica-distant	4
12	hpgpAfroamerica	hpgpAfrica-distant	0
13	hpgpAklavik86-like	hpgpAfrica-distant	0
14	hpgpAsia	hpgpAfrica-distant	0
15	hpgpEurasia	hpgpAfrica-distant	0
16	hpgpEuroamerica	hpgpAfrica-distant	0
17	hpgpEurope	hpgpAfrica-distant	0
18	hpgpMediterranea	hpgpAfrica-distant	0
19	hpgpAfrica	hpgpAfroamerica	0
20	hpgpAfrica-distant	hpgpAfroamerica	0
21	hpgpAfroamerica	hpgpAfroamerica	50
22	hpgpAklavik86-like	hpgpAfroamerica	0
23	hpgpAsia	hpgpAfroamerica	0
24	hpgpEurasia	hpgpAfroamerica	0
25	hpgpEuroamerica	hpgpAfroamerica	0
26	hpgpEurope	hpgpAfroamerica	0
27	hpgpMediterranea	hpgpAfroamerica	0
28	hpgpAfrica	hpgpAklavik86-like	0
29	hpgpAfrica-distant	hpgpAklavik86-like	0
30	hpgpAfroamerica	hpgpAklavik86-like	0
31	hpgpAklavik86-like	hpgpAklavik86-like	10
32	hpgpAsia	hpgpAklavik86-like	0
33	hpgpEurasia	hpgpAklavik86-like	0
34	hpgpEuroamerica	hpgpAklavik86-like	0
35	hpgpEurope	hpgpAklavik86-like	0
36	hpgpMediterranea	hpgpAklavik86-like	0
37	hpgpAfrica	hpgpAsia	0
38	hpgpAfrica-distant	hpgpAsia	0
39	hpgpAfroamerica	hpgpAsia	0
40	hpgpAklavik86-like	hpgpAsia	0
41	hpgpAsia	hpgpAsia	177
42	hpgpEurasia	hpgpAsia	0
43	hpgpEuroamerica	hpgpAsia	0
44	hpgpEurope	hpgpAsia	0
45	hpgpMediterranea	hpgpAsia	0
46	hpgpAfrica	hpgpEurasia	0
47	hpgpAfrica-distant	hpgpEurasia	0
48	hpgpAfroamerica	hpgpEurasia	0
49	hpgpAklavik86-like	hpgpEurasia	0
50	hpgpAsia	hpgpEurasia	0
51	hpgpEurasia	hpgpEurasia	63
52	hpgpEuroamerica	hpgpEurasia	0
53	hpgpEurope	hpgpEurasia	0
54	hpgpMediterranea	hpgpEurasia	0
55	hpgpAfrica	hpgpEuroamerica	0
56	hpgpAfrica-distant	hpgpEuroamerica	0
57	hpgpAfroamerica	hpgpEuroamerica	0
58	hpgpAklavik86-like	hpgpEuroamerica	0
59	hpgpAsia	hpgpEuroamerica	0
60	hpgpEurasia	hpgpEuroamerica	0
61	hpgpEuroamerica	hpgpEuroamerica	136
62	hpgpEurope	hpgpEuroamerica	0
63	hpgpMediterranea	hpgpEuroamerica	0
64	hpgpAfrica	hpgpEurope	0
65	hpgpAfrica-distant	hpgpEurope	0
66	hpgpAfroamerica	hpgpEurope	0
67	hpgpAklavik86-like	hpgpEurope	0
68	hpgpAsia	hpgpEurope	0
69	hpgpEurasia	hpgpEurope	0
70	hpgpEuroamerica	hpgpEurope	0
71	hpgpEurope	hpgpEurope	280
72	hpgpMediterranea	hpgpEurope	1
73	hpgpAfrica	hpgpMediterranea	0
74	hpgpAfrica-distant	hpgpMediterranea	0
75	hpgpAfroamerica	hpgpMediterranea	0
76	hpgpAklavik86-like	hpgpMediterranea	0
77	hpgpAsia	hpgpMediterranea	0
78	hpgpEurasia	hpgpMediterranea	0
79	hpgpEuroamerica	hpgpMediterranea	0
80	hpgpEurope	hpgpMediterranea	4
81	hpgpMediterranea	hpgpMediterranea	215
