No	Sample	N_SNPs	GD1_x	GD2_y	GD3_z	F_percent	E_percent	A_percent	hpgpAfrica	hpgpAfrica-distant	hpgpAfroamerica	hpgpEuroamerica	hpgpMediterranea	hpgpEurope	hpgpEurasia	hpgpAsia	hpgpAklavik86-like	Refpop	Nearest_neighbor	Separation_percent
1	HpGP-ALG-001	44787	1.322301	1.26632	0.004362	22.69	77.31	0	0.36535	0.570234	0.297355	0.262443	0.246233	0.267664	0.350835	0.507214	0.486689	hpgpMediterranea	hpgpEuroamerica	6.58
2	HpGP-ALG-002	44787	1.284572	1.243841	0.009643	32.14	67.86	0	0.343723	0.577099	0.289612	0.259908	0.262635	0.281613	0.360033	0.514755	0.49189	hpgpEuroamerica	hpgpMediterranea	1.05
3	HpGP-ALG-003	44787	1.260584	1.239311	0.012231	35.4	64.6	0	0.33328	0.567962	0.285288	0.257939	0.261587	0.286247	0.371012	0.525194	0.500119	hpgpEuroamerica	hpgpMediterranea	1.41
4	HpGP-ALG-004	44787	1.319562	1.265921	0.007615	23.06	76.94	0	0.36542	0.572465	0.298774	0.265419	0.247594	0.27072	0.352153	0.509287	0.488804	hpgpMediterranea	hpgpEuroamerica	7.2
5	HpGP-ALG-005	44787	1.317895	1.266783	0.004057	22.99	77.01	0	0.363591	0.571597	0.297273	0.26298	0.245352	0.267365	0.351097	0.509694	0.487858	hpgpMediterranea	hpgpEuroamerica	7.18
6	HpGP-ALG-006	44787	1.310091	1.26241	0.004598	24.84	75.16	0	0.358994	0.574454	0.294143	0.262399	0.246145	0.269669	0.353824	0.511269	0.49016	hpgpMediterranea	hpgpEuroamerica	6.6
7	HpGP-ALG-007	44787	1.322415	1.266623	0.004362	22.61	77.39	0	0.365509	0.572846	0.298761	0.263967	0.249307	0.26755	0.350611	0.507336	0.488627	hpgpMediterranea	hpgpEuroamerica	5.88
8	HpGP-ALG-008	44787	1.307545	1.243238	0.006668	30.3	69.7	0	0.351686	0.575066	0.293032	0.267262	0.255264	0.278548	0.354763	0.501658	0.482778	hpgpMediterranea	hpgpEuroamerica	4.7
9	HpGP-ALG-009	44787	1.306889	1.266622	0.008992	24.06	75.94	0	0.361055	0.572688	0.295234	0.263167	0.246856	0.272046	0.358163	0.516661	0.492042	hpgpMediterranea	hpgpEuroamerica	6.61
10	HpGP-ALG-010	44787	1.320059	1.26154	0.003592	24.14	75.86	0	0.36234	0.56858	0.296103	0.261676	0.247694	0.268809	0.352246	0.505299	0.486942	hpgpMediterranea	hpgpEuroamerica	5.64
11	HpGP-ARG-001	44787	1.364984	1.267446	0.00692	18.12	81.88	0	0.384307	0.572742	0.307663	0.265487	0.252869	0.268175	0.338909	0.486444	0.476184	hpgpMediterranea	hpgpEuroamerica	4.99
12	HpGP-ARG-002	44787	1.355094	1.232203	-0.006195	28.59	69.69	1.72	0.36177	0.565872	0.291621	0.252319	0.254945	0.269952	0.335848	0.466841	0.453293	hpgpEuroamerica	hpgpMediterranea	1.04
13	HpGP-ARG-003	44787	1.342749	1.268014	0.004277	20.27	79.73	0	0.374321	0.573814	0.301534	0.259209	0.244354	0.266348	0.344738	0.497597	0.478361	hpgpMediterranea	hpgpEuroamerica	6.08
14	HpGP-ARG-004	44787	1.344056	1.254984	-0.005717	23.55	76.45	0	0.365902	0.567684	0.294125	0.255069	0.243019	0.262384	0.339401	0.486363	0.473931	hpgpMediterranea	hpgpEuroamerica	4.96
