Taxon,Cluster_name
SAMEA3993949,zubpa
SAMEA3995847,zubpa
SAMEA4000266,zubpa
SAMEA4000278,zubpa
SAMEA4000277,zubpa
SAMEA3993945,zubpa
SAMEA3995851,zubpa
SAMEA3993946,zubpa
SAMEA3995861,zubpa
SAMEA3982710,zubpa
SAMEA4000264,zubpa
SAMEA4000269,zubpa
SAMEA4000279,zubpa
SAMN06186787,zubpa
SAMEA3993954,zubpa
SAMEA4000271,zubpa
SAMD00012632,zubpa
SAMEA4000265,zubpa
SAMEA3995849,zubpa
SAMEA3995857,zubpa
SAMN02603763,zubpa
SAMEA4000267,zubpa
SAMEA4000273,zubpa
SAMEA3982711,zubpa
SAMEA4000274,zubpa
SAMN02603761,zubpa
SAMEA3992714,zubpa
SAMN02603995,zubpa
SAMEA3995845,zubpa
SAMEA3995859,zubpa
SAMEA4000275,zubpa
SAMEA3995860,zubpa
SAMEA3993950,zubpa
SAMEA3992711,zubpa
SAMEA3992712,zubpa
SAMEA4000263,zubpa
SAMN02603762,zubpa
SAMEA3995846,zubpa
SAMEA3993953,zubpa
SAMN06173312,zubpa
SAMEA3995852,zubpa
SAMD00061016,zubpa
SAMEA3993951,zubpa
SAMEA3993955,zubpa
SAMN14820865,zubpa
SAMEA3993956,zubpa
SAMN08388633,zubpa
SAMEA3995844,zubpa
SAMEA3993947,zubpa
SAMEA3995848,zubpa
SAMEA3995862,zubpa
SAMD00061017,zubpa
SAMEA3995854,zubpa
SAMEA3995858,zubpa
SAMEA4000276,zubpa
SAMD00061015,zubpa
SAMEA3995850,zubpa
SAMN02471468,zubpa
SAMEA3995843,zubpa
SAMN08388637,zubpa
SAMN08388634,zubpa
SAMN03268385,zubpa
SAMN03268365,zubpa
SAMEA4000268,zubpa
SAMN08388635,zubpa
SAMEA4000272,zubpa
SAMEA3995853,zubpa
SAMN06323874,etuwdo
SAMN13477394,etuwdo
SAMN06323876,etuwdo
SAMN06323862,etuwdo
SAMN06323878,etuwdo
SAMN06323875,etuwdo
SAMN06323871,etuwdo
SAMN06323841,etuwdo
SAMN06323844,etuwdo
SAMN06323858,etuwdo
SAMN06323860,etuwdo
SAMN06323877,etuwdo
SAMN06323847,etuwdo
SAMN06323852,etuwdo
SAMN06323857,etuwdo
